"","airlineId","year","month","type","NormalizedDelay","count"
"70146",19386,1998,10,0,3.9998996,39833
"70147",19386,1998,11,0,3.9998956,38269
"70148",19386,1998,12,0,3.9998987,39447
"70149",19386,1998,2,0,3.9998896,36258
"70150",19386,1998,3,0,3.9999006,40193
"70151",19386,1998,4,0,3.999894,37715
"70152",19386,1998,5,0,3.9998915,36834
"70153",19386,1998,6,0,3.9998908,36649
"70154",19386,1998,7,0,3.9999,40052
"70155",19386,1998,8,0,3.9998906,36555
"70156",19386,1998,9,0,3.9997556,16376
"70157",19386,1999,1,0,3.9998891,36067
"70158",19386,1999,10,0,3.9999025,41053
"70159",19386,1999,11,0,3.999897,38837
"70160",19386,1999,12,0,3.999901,40411
"70161",19386,1999,2,0,3.9998896,36217
"70162",19386,1999,3,0,3.9999003,40123
"70163",19386,1999,4,0,3.9998984,39354
"70164",19386,1999,5,0,3.9998999,39934
"70165",19386,1999,6,0,3.9999015,40600
"70166",19386,1999,7,0,3.9999044,41871
"70167",19386,1999,8,0,3.9999068,42883
"70168",19386,1999,9,0,3.9998991,39655
"70169",19386,2000,1,0,3.9998975,39032
"70170",19386,2000,10,0,3.999906,42618
"70171",19386,2000,11,0,3.999901,40407
"70172",19386,2000,12,0,3.9998987,39467
"70173",19386,2000,2,0,3.9998946,37962
"70174",19386,2000,3,0,3.9999037,41483
"70175",19386,2000,4,0,3.9998987,39440
"70176",19386,2000,5,0,3.9999015,40657
"70177",19386,2000,6,0,3.9999042,41772
"70178",19386,2000,7,0,3.9999082,43594
"70179",19386,2000,8,0,3.9999092,44085
"70180",19386,2000,9,0,3.9998999,39959
"70181",19386,2001,1,0,3.9999018,40699
"70182",19386,2001,10,0,3.999883,34187
"70183",19386,2001,11,0,3.9998832,34263
"70184",19386,2001,12,0,3.9998903,36471
"70185",19386,2001,2,0,3.9998915,36912
"70186",19386,2001,3,0,3.9999032,41358
"70187",19386,2001,4,0,3.999901,40460
"70188",19386,2001,5,0,3.999906,42630
"70189",19386,2001,6,0,3.9999044,41794
"70190",19386,2001,7,0,3.99991,44450
"70191",19386,2001,8,0,3.9999104,44645
"70192",19386,2001,9,0,3.9998753,32071
"70193",19386,2002,1,0,3.9998872,35477
"70194",19386,2002,10,0,3.9998994,39733
"70195",19386,2002,11,0,3.9998953,38210
"70196",19386,2002,12,0,3.9998968,38723
"70197",19386,2002,2,0,3.999882,33862
"70198",19386,2002,3,0,3.9998958,38349
"70199",19386,2002,4,0,3.9998918,36934
"70200",19386,2002,5,0,3.9998958,38435
"70201",19386,2002,6,0,3.9998996,39867
"70202",19386,2002,7,0,3.9999056,42415
"70203",19386,2002,8,0,3.999907,43042
"70204",19386,2002,9,0,3.9998944,37834
"70205",19386,2003,1,0,3.999895,38131
"70206",19386,2003,10,0,3.999894,37690
"70207",19386,2003,11,0,3.9998884,35817
"70208",19386,2003,12,0,3.9998944,37838
"70209",19386,2003,2,0,3.9998853,34846
"70210",19386,2003,3,0,3.9999018,40747
"70211",19386,2003,4,0,3.9998925,37188
"70212",19386,2003,5,0,3.9998922,37136
"70213",19386,2003,6,0,3.9998941,37780
"70214",19386,2003,7,0,3.9998991,39659
"70215",19386,2003,8,0,3.9998987,39461
"70216",19386,2003,9,0,3.999887,35389
"70217",19386,2004,1,0,3.9998913,36783
"70218",19386,2004,10,0,3.9998958,38414
"70219",19386,2004,11,0,3.999895,38152
"70220",19386,2004,12,0,3.9998963,38566
"70221",19386,2004,2,0,3.9998882,35809
"70222",19386,2004,3,0,3.999899,39615
"70223",19386,2004,4,0,3.9998949,38062
"70224",19386,2004,5,0,3.9998956,38262
"70225",19386,2004,6,0,3.9998972,38916
"70226",19386,2004,7,0,3.9999013,40509
"70227",19386,2004,8,0,3.999902,40843
"70228",19386,2004,9,0,3.9998887,35939
"70229",19386,2005,1,0,3.9998891,36113
"70230",19386,2005,10,0,3.9998786,32959
"70231",19386,2005,11,0,3.999876,32249
"70232",19386,2005,12,0,3.9998803,33416
"70233",19386,2005,2,0,3.9998832,34268
"70234",19386,2005,3,0,3.9999003,40173
"70235",19386,2005,4,0,3.9998968,38733
"70236",19386,2005,5,0,3.9998972,38884
"70237",19386,2005,6,0,3.999897,38833
"70238",19386,2005,7,0,3.9999,40035
"70239",19386,2005,8,0,3.9998953,38241
"70240",19386,2005,9,0,3.9998825,34031
"70241",19386,2006,1,0,3.999871,30998
"70242",19386,2006,10,0,3.9998844,34581
"70243",19386,2006,11,0,3.999881,33615
"70244",19386,2006,12,0,3.999884,34477
"70245",19386,2006,2,0,3.9998612,28844
"70246",19386,2006,3,0,3.9998817,33834
"70247",19386,2006,4,0,3.999877,32527
"70248",19386,2006,5,0,3.9998817,33795
"70249",19386,2006,6,0,3.9998794,33178
"70250",19386,2006,7,0,3.9998848,34758
"70251",19386,2006,8,0,3.9998865,35248
"70252",19386,2006,9,0,3.9998798,33297
"70253",19386,2007,1,0,3.999878,32759
"70254",19386,2007,10,0,3.9998717,31196
"70255",19386,2007,11,0,3.9998658,29808
"70256",19386,2007,12,0,3.999866,29871
"70257",19386,2007,2,0,3.9998636,29348
"70258",19386,2007,3,0,3.9998806,33485
"70259",19386,2007,4,0,3.9998772,32568
"70260",19386,2007,5,0,3.9998825,34041
"70261",19386,2007,6,0,3.9998748,31952
"70262",19386,2007,7,0,3.9998777,32712
"70263",19386,2007,8,0,3.9998775,32665
"70264",19386,2007,9,0,3.9998658,29824
"70265",19386,2008,1,0,3.9998627,29113
"70266",19386,2008,10,0,3.9998338,24087
"70267",19386,2008,11,0,3.9998252,22885
"70268",19386,2008,12,0,3.9998267,23071
"70269",19386,2008,2,0,3.9998522,27072
"70270",19386,2008,3,0,3.999866,29847
"70271",19386,2008,4,0,3.9998622,29018
"70272",19386,2008,5,0,3.9998658,29825
"70273",19386,2008,6,0,3.999864,29454
"70274",19386,2008,7,0,3.9998674,30168
"70275",19386,2008,8,0,3.9998555,27691
"70276",19386,2008,9,0,3.9998305,23597
"70277",19386,2009,1,0,3.9998171,21866
"70278",19386,2009,10,0,3.999809,20950
"70279",19386,2009,11,0,3.999802,20215
"70280",19386,2009,12,0,3.9998085,20891
"70281",19386,2009,2,0,3.9998088,20912
"70282",19386,2009,3,0,3.9998345,24170
"70283",19386,2009,4,0,3.9998293,23443
